0000,0
0001,1
0002,2
0003,3
0004,4
0005,5
0006,6
0007,7
0008,8
0009,9
0010,+
0011,-
0012,\div
0013,\times
0014,.
0015,x
0016,y
0017,z
0018,\leftarrow
0019,\rightarrow
0020,\leftrightarrow
0021,\uparrow
0022,\downarrow
0023,\updownarrow
0024,\rightarrow \times
0025,\leftarrow 4
0026,- 0
0027,2 \leftarrow
0028,4 \div
0029,\div .
0030,\div \updownarrow
0031,\leftarrow z
0032,- \leftrightarrow
0033,2 5
0034,1 0
0035,3 x
0036,8 0
0037,0 z
0038,y \uparrow
0039,9 .
0040,9 \leftarrow
0041,3 3
0042,\leftarrow \div
0043,z 9
0044,- 8
0045,. \downarrow
0046,3 x
0047,\downarrow y
0048,\updownarrow \uparrow
0049,\downarrow 0
0050,7 \downarrow
0051,\rightarrow .
0052,\uparrow 6
0053,5 9
0054,2 6
0055,\downarrow 4
0056,6 \updownarrow
0057,z \div
0058,9 \updownarrow
0059,. 0
0060,. y
0061,9 -
0062,6 \times
0063,\downarrow 4
0064,\leftarrow z
0065,0 \leftrightarrow
0066,0 \div
0067,7 \uparrow
0068,3 7
0069,x 0
0070,7 -
0071,9 +
0072,\updownarrow \leftrightarrow
0073,\leftrightarrow y
0074,+ \leftrightarrow
0075,\times 1
0076,+ +
0077,\leftarrow z
0078,\updownarrow \leftarrow
0079,8 \div
0080,\rightarrow \downarrow
0081,. 3
0082,\div 9
0083,5 \leftarrow
0084,\downarrow \updownarrow
0085,. 6
0086,\updownarrow 9
0087,\div y
0088,7 3
0089,x z
0090,+ \leftrightarrow
0091,+ y
0092,8 1
0093,6 6
0094,\rightarrow 3
0095,\leftarrow 1
0096,\updownarrow \downarrow
0097,x 5
0098,\updownarrow y
0099,x \leftarrow
0100,x +
0101,. \times
0102,3 y
0103,8 9
0104,y 1
0105,z \rightarrow
0106,9 \div
0107,9 0
0108,4 \div
0109,8 7
0110,\updownarrow \rightarrow
0111,9 1
0112,\leftrightarrow 1
0113,z +
0114,\leftarrow z
0115,\downarrow 7
0116,8 \rightarrow
0117,y 0
0118,5 2
0119,9 y
0120,8 1
0121,\uparrow \leftarrow
0122,\times \updownarrow
0123,6 9
0124,5 8
0125,x y
0126,3 \updownarrow
0127,6 \updownarrow
0128,\downarrow x
0129,9 \leftrightarrow
0130,8 y
0131,\div 5
0132,5 \div
0133,7 x
0134,8 .
0135,9 \rightarrow
0136,\div y
0137,- \times
0138,\updownarrow \leftrightarrow
0139,. +
0140,7 5
0141,1 8
0142,y 5
0143,\times 3
0144,\leftrightarrow \rightarrow
0145,0 0
0146,\div 9
0147,\leftarrow 5
0148,7 \div
0149,\rightarrow .
0150,\rightarrow 1
0151,y 5
0152,+ \uparrow
0153,\downarrow 8
0154,7 z
0155,6 \div
0156,z \leftrightarrow
0157,\uparrow \times
0158,y \leftrightarrow
0159,y z
0160,- 9
0161,z \updownarrow
0162,\updownarrow 7
0163,\downarrow \div
0164,\div y
0165,\times \downarrow
0166,4 9
0167,1 4
0168,9 \leftrightarrow
0169,\div 9
0170,6 \leftrightarrow
0171,\leftrightarrow \leftrightarrow
0172,1 2
0173,\times 1
0174,\times \rightarrow
0175,\leftarrow 1
0176,\leftarrow .
0177,+ \updownarrow
0178,6 \updownarrow
0179,x .
0180,\updownarrow \leftarrow
0181,z 5
0182,9 4
0183,\downarrow -
0184,5 z
0185,9 7
0186,\leftarrow 2
0187,. +
0188,3 \div
0189,\leftarrow -
0190,5 8
0191,4 7
0192,5 y
0193,\downarrow -
0194,6 6
0195,\updownarrow -
0196,\leftrightarrow 8
0197,3 -
0198,y \rightarrow
0199,\uparrow \downarrow
0200,\downarrow \uparrow
0201,5 .
0202,\downarrow \leftarrow
0203,\rightarrow 2
0204,9 .
0205,z 1
0206,\uparrow 0
0207,9 4
0208,2 3
0209,\uparrow \leftarrow
0210,x 0
0211,5 1
0212,6 4
0213,6 \downarrow
0214,\rightarrow 8
0215,x 5
0216,- 9
0217,7 z
0218,5 7
0219,+ \leftrightarrow
0220,\leftrightarrow \leftarrow
0221,4 6
0222,\leftarrow y
0223,\uparrow 0
0224,9 7
0225,\uparrow -
0226,z 9
0227,\times 8
0228,\leftrightarrow x
0229,1 0
0230,3 8
0231,+ \updownarrow
0232,\downarrow \div
0233,x 5
0234,\uparrow \rightarrow
0235,x \leftrightarrow
0236,- y
0237,\uparrow 9
0238,\uparrow \leftarrow
0239,x \times
0240,y \div
0241,\rightarrow .
0242,\leftarrow \div
0243,\downarrow \downarrow
0244,3 9
0245,9 1
0246,z 8
0247,8 \downarrow
0248,\updownarrow 6
0249,\leftarrow +
0250,8 \div
0251,+ 6
0252,\rightarrow \uparrow
0253,\times \leftrightarrow
0254,\times 5
0255,3 6
0256,1 +
0257,5 \leftrightarrow
0258,\downarrow \leftrightarrow
0259,9 \downarrow
0260,3 +
0261,3 -
0262,7 \div
0263,- 2
0264,5 4
0265,\div \rightarrow
0266,5 \downarrow
0267,7 0
0268,5 1
0269,. +
0270,7 z
0271,\div \updownarrow
0272,\updownarrow \leftrightarrow
0273,7 \leftarrow
0274,\times \div
0275,\updownarrow \downarrow
0276,\div 4
0277,4 7
0278,8 3
0279,8 \leftrightarrow
0280,+ y
0281,- z
0282,\rightarrow 0
0283,4 x
0284,\leftrightarrow \uparrow
0285,\rightarrow \updownarrow
0286,\div 4
0287,\rightarrow \rightarrow
0288,3 8
0289,+ \downarrow
0290,0 3
0291,\rightarrow 9
0292,5 4
0293,6 7
0294,+ 3
0295,0 \rightarrow
0296,2 \rightarrow
0297,. z
0298,4 z
0299,x 8
0300,\downarrow 6
0301,7 \downarrow
0302,\uparrow \leftarrow
0303,y \leftrightarrow
0304,\uparrow .
0305,\leftarrow z
0306,. .
0307,1 +
0308,\rightarrow y
0309,y 3
0310,6 x
0311,\times .
0312,\uparrow 4
0313,\leftrightarrow \updownarrow
0314,\downarrow 7
0315,\rightarrow \rightarrow
0316,\updownarrow 0
0317,x 9
0318,1 y
0319,. \uparrow
0320,3 7
0321,+ y
0322,4 4
0323,\div 8
0324,0 \leftarrow
0325,7 z
0326,4 +
0327,6 \downarrow
0328,\leftarrow \downarrow
0329,8 z
0330,+ \div
0331,y y
0332,z 6
0333,0 z
0334,5 9
0335,z \leftrightarrow
0336,9 .
0337,\uparrow 5
0338,z 3
0339,5 y
0340,0 8
0341,0 \leftarrow
0342,\times y
0343,x z
0344,0 2
0345,\div z
0346,z z
0347,. \leftarrow
0348,\updownarrow 1
0349,. x
0350,\downarrow z
0351,\times .
0352,3 \rightarrow
0353,6 \uparrow
0354,\leftrightarrow .
0355,. 7
0356,\uparrow \div
0357,- 9
0358,7 x
0359,0 z
0360,\rightarrow 5
